genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_domain,neighbors
Mbp,0.9889570552147239,0.04130808950086059,23.941002044989773,0.8308912515640259,0.012582064606249332,2.2666640281677246,7.105722411692374e-247,2,"[3, 4]"
Ndrg1,0.9791411042944785,0.6376936316695353,1.5354412458706936,3.6445374488830566,0.9442152380943298,14.884525299072266,2.9747332042693985e-215,2,"[3, 4]"
Ermn,0.9374233128834356,0.29862306368330466,3.1391524195116776,3.103151559829712,0.36243924498558044,15.498021125793457,1.1889338934382245e-197,2,"[3, 4]"
Gjc3,0.9190184049079755,0.310671256454389,2.9581700457148683,2.4044153690338135,0.34595468640327454,7.833901882171631,2.7401350016542456e-182,2,"[3, 4]"
Sgk1,0.9165644171779141,0.4569707401032702,2.005739835707601,2.920602560043335,0.5383036136627197,10.829771995544434,3.655977324620717e-162,2,"[3, 4]"
Ttyh2,0.901840490797546,0.2728055077452668,3.3058001586963672,2.236004114151001,0.3425903618335724,6.642004489898682,1.619485407794208e-122,2,"[3, 4]"
Lpar1,0.8748466257668711,0.25559380378657487,3.4228006031687013,1.7734946012496948,0.2329406887292862,4.667174816131592,3.279968776957347e-118,2,"[3, 4]"
Sln,0.9553571428571429,0.5602960383108402,1.7050935175935178,0.5907431244850159,0.18380075693130493,1.5022175312042236,6.241178105543314e-10,7,"[0, 3]"
Slc17a6,0.9285714285714286,0.6839355681323466,1.3576884604892243,2.135779619216919,1.0406550168991089,2.9895551204681396,3.645735381908031e-08,7,"[0, 3]"
Gpr165,0.9375,0.8419677840661732,1.1134630299896588,2.2269725799560547,1.4947731494903564,2.0796496868133545,3.3741529019947263e-07,7,"[0, 3]"
Pak3,0.9732142857142857,0.8946451893774489,1.0878215154675008,3.1532375812530518,2.374018907546997,2.1797685623168945,1.0399952057776943e-06,7,"[0, 3]"
Sema4d,0.8303571428571429,0.6791467131040487,1.222647664835165,1.5239523649215698,0.9292100667953491,1.8125636577606201,5.896838929476476e-05,7,"[0, 3]"
Irs4,0.8125,0.6417065737919024,1.2661550203527816,1.8107959032058716,1.0269660949707031,2.189842939376831,0.001097491234981499,7,"[0, 3]"
Oprl1,0.8125,0.6787113626469308,1.1971215522771008,1.478823184967041,0.9809113144874573,1.6452820301055908,0.01180147491446474,7,"[0, 3]"
Cbln2,0.9017857142857143,0.8541575968654767,1.0557603393039174,2.0718085765838623,1.5629980564117432,1.66331148147583,0.014022413831406445,7,"[0, 3]"
Syt4,0.8035714285714286,0.7004788855028298,1.147174376276303,1.7478845119476318,1.248643398284912,1.6474705934524536,0.041289428562793704,7,"[0, 3]"
Dgkk,0.8125819134993447,0.3541932737335036,2.2941765803004337,1.720394492149353,0.479702889919281,3.4580044746398926,4.26597199365613e-82,3,"[0, 2]"
Pak3,0.9554390563564875,0.783737760749255,1.2190800344276964,2.8815112113952637,1.6638307571411133,3.379340171813965,1.308513039476819e-78,3,"[0, 2]"
Syt4,0.836173001310616,0.4563644103873989,1.8322484888793256,1.617494821548462,0.7336844205856323,2.4201037883758545,9.10968770203912e-62,3,"[0, 2]"
Cbln2,0.9161205766710354,0.6998722860791826,1.308982502798213,1.8508368730545044,1.092910647392273,2.1338465213775635,1.2903771635603268e-58,3,"[0, 2]"
Gpr165,0.9030144167758847,0.7007237122179651,1.288688253345415,1.7760264873504639,1.0659902095794678,2.034065008163452,3.913815373873466e-51,3,"[0, 2]"
Gabra1,0.8309305373525557,0.49638143891017456,1.6739758424023614,1.900416374206543,0.9983013272285461,2.464810848236084,1.2987043169343696e-42,3,"[0, 2]"
Gad1,0.8453473132372215,0.5317156236696466,1.5898485498752868,2.3363640308380127,1.3845674991607666,2.5903589725494385,1.5579591058846086e-23,3,"[0, 2]"
