genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_domain,neighbors
LCAT,0.8333333333333334,0.5845070422535211,1.4257028112449799,1.0099546909332275,0.5754539966583252,1.544191837310791,0.0019123603282893006,0,"[3, 1, 2]"
AI593442,0.8333333333333334,0.6830985915492958,1.2199312714776633,1.1160013675689697,0.710511326789856,1.5000373125076294,0.012142508260862314,0,"[3, 1, 2]"
LYN,0.8111111111111111,0.6197183098591549,1.308838383838384,0.9873113036155701,0.6380021572113037,1.418087363243103,0.017919895021882175,0,"[3, 1, 2]"
OMP,0.9622641509433962,0.8666666666666667,1.1103047895500726,2.2886605262756348,1.191328525543213,2.996161699295044,3.590784754889285e-13,1,[0]
NR2F2,0.9245283018867925,0.7777777777777778,1.1886792452830188,2.2261807918548584,1.0943071842193604,3.101461887359619,3.9711699050526294e-13,1,[0]
LPAR1,0.9245283018867925,0.7111111111111111,1.3001179245283019,1.7283909320831299,0.8070254325866699,2.5127193927764893,1.0235273014404808e-12,1,[0]
IGFBP4,0.8679245283018868,0.4111111111111111,2.11116777154513,1.3044860363006592,0.4054068326950073,2.457339286804199,4.9293758360155054e-12,1,[0]
PMEPA1,0.9245283018867925,0.8555555555555555,1.0806174957118353,1.9991358518600464,1.1317616701126099,2.3806514739990234,4.9293758360155054e-12,1,[0]
FOXD3,0.8301886792452831,0.36666666666666664,2.264150943396227,1.195319652557373,0.366353839635849,2.2909481525421143,2.987681747446493e-11,1,[0]
GSN,0.9433962264150944,0.9222222222222223,1.0229597635826324,2.115492105484009,1.4085983037948608,2.0276830196380615,4.823984685358566e-11,1,[0]
CCND2,0.8113207547169812,0.4,2.0283018867924527,1.2481763362884521,0.4010891914367676,2.3328418731689453,6.175517978323918e-11,1,[0]
FRZB,0.9433962264150944,0.9,1.0482180293501049,2.1862173080444336,1.3268613815307617,2.3616390228271484,6.343778402501189e-11,1,[0]
SH3PXD2A,0.8679245283018868,0.5555555555555556,1.562264150943396,1.3060033321380615,0.5273863077163696,2.178457260131836,8.852931573208224e-11,1,[0]
FYCO1,0.8867924528301887,0.7,1.266846361185984,1.3836790323257446,0.6969628930091858,1.987179160118103,1.764036566341223e-10,1,[0]
TMEM132B,0.8679245283018868,0.5888888888888889,1.4738341046635814,1.2224245071411133,0.5674667358398438,1.9250611066818237,2.5566818241466477e-10,1,[0]
NNAT,0.9056603773584906,0.7888888888888889,1.148020196651608,1.530998706817627,0.8413956165313721,1.992924451828003,3.0303609358074397e-10,1,[0]
