,genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_dmain,neighbors
7,MAG,0.9404517453798767,0.8899563318777293,1.0567392035917162,2.0784101486206055,1.5541532039642334,1.689203143119812,6.616340113757449e-133,0.0,"[3, 2, 4]"
9,MOG,0.8891170431211499,0.7903930131004366,1.1249049882582505,1.4966069459915161,1.04554283618927,1.5699819326400757,1.7669166855230614e-132,0.0,"[3, 2, 4]"
5,ERMN,0.8521560574948666,0.6419213973799127,1.327508416097445,1.2399547100067139,0.7246817946434021,1.6740952730178833,1.3039633036108145e-134,0.0,"[3, 2, 4]"
6,UGT8A,0.8172484599589322,0.6104803493449782,1.3386974057982508,1.160516381263733,0.6771715879440308,1.6214889287948608,6.594639060719554e-134,0.0,"[3, 2, 4]"
0,PVALB,1.0,0.9956521739130435,1.0043668122270741,4.1500163078308105,2.2418301105499268,6.740851402282715,2.345089062280425e-47,1.0,[8]
95,SERF2,1.0,0.991304347826087,1.0087719298245614,2.5884053707122803,1.8717660903930664,2.0475404262542725,2.065593061180701e-09,1.0,[8]
117,RPS12,1.0,0.9608695652173913,1.0407239819004526,2.4252872467041016,1.7115238904953003,2.0416603088378906,2.4200860603424542e-08,1.0,[8]
290,ATP5O-1,1.0,0.9826086956521739,1.0176991150442478,2.295806407928467,1.755456805229187,1.716606855392456,0.0006073690766150154,1.0,[8]
113,MT3,1.0,0.9956521739130435,1.0043668122270741,3.0220301151275635,2.220337152481079,2.229311943054199,1.2644453062482503e-08,1.0,[8]
284,UQCR10,1.0,0.991304347826087,1.0087719298245614,2.5460970401763916,2.0142061710357666,1.7021477222442627,0.0005227531971125915,1.0,[8]
339,COX5B,1.0,0.9956521739130435,1.0043668122270741,3.0387933254241943,2.592053174972534,1.563207983970642,0.002636184995376274,1.0,[8]
283,ATP2A2,1.0,0.991304347826087,1.0087719298245614,2.8537559509277344,2.1300179958343506,2.062126874923706,0.0005151329388039303,1.0,[8]
