,genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_dmain,neighbors
0,CCK,1.0,0.9859154929577465,1.0142857142857142,3.199706554412842,2.4839930534362793,2.0456457138061523,2.5058819484318407e-07,0.0,"[3, 1, 2]"
24,HLF,1.0,0.9507042253521126,1.0518518518518518,2.2368671894073486,1.7959873676300049,1.5540738105773926,0.009970764236644883,0.0,"[3, 1, 2]"
2,AQP4,1.0,0.971830985915493,1.0289855072463767,2.6307971477508545,2.0188381671905518,1.8440403938293457,2.8834350591344644e-05,0.0,"[3, 1, 2]"
3,SLC1A3,1.0,0.9859154929577465,1.0142857142857142,3.956103563308716,3.4201583862304688,1.7090628147125244,9.153085284955774e-05,0.0,"[3, 1, 2]"
4,PLA2G7,1.0,0.9577464788732394,1.0441176470588236,2.5135557651519775,1.9575855731964111,1.7436317205429077,0.00010020712261542974,0.0,"[3, 1, 2]"
5,DOC2G,1.0,0.9859154929577465,1.0142857142857142,3.350501775741577,2.813793182373047,1.7103679180145264,0.0002711397163427091,0.0,"[3, 1, 2]"
7,NCAN,1.0,0.8943661971830986,1.1181102362204725,1.7890716791152954,1.2740596532821655,1.6736586093902588,0.0008067309010080652,0.0,"[3, 1, 2]"
11,MT2,1.0,0.9788732394366197,1.0215827338129495,2.571497917175293,2.1458728313446045,1.5305466651916504,0.0013267273321006124,0.0,"[3, 1, 2]"
12,NRSN1,1.0,0.9859154929577465,1.0142857142857142,3.2515671253204346,2.7934672832489014,1.5810668468475342,0.0019123603282893006,0.0,"[3, 1, 2]"
1,SLC6A11,1.0,0.971830985915493,1.0289855072463767,3.4606857299804688,2.749497175216675,2.036410093307495,1.2713395958006902e-05,0.0,"[3, 1, 2]"
25,CDHR1,1.0,0.9859154929577465,1.0142857142857142,2.919455051422119,2.412198781967163,1.6607284545898438,0.01105861887102164,0.0,"[3, 1, 2]"
20,MLC1,1.0,0.9647887323943662,1.0364963503649633,2.5815489292144775,2.1370692253112793,1.5596784353256226,0.005153323536957365,0.0,"[3, 1, 2]"
21,PPAP2B,1.0,0.9788732394366197,1.0215827338129495,2.663728952407837,2.219724416732788,1.558937430381775,0.005153323536957365,0.0,"[3, 1, 2]"
6,SHISA9,0.9888888888888889,0.8380281690140845,1.1800186741363212,1.8421006202697754,1.2755098342895508,1.7622488737106323,0.0002711397163427091,0.0,"[3, 1, 2]"
16,IGFBP2,0.9888888888888889,0.9436619718309859,1.0479270315091211,2.008152723312378,1.5477725267410278,1.5846762657165527,0.003630787809512066,0.0,"[3, 1, 2]"
32,S1PR1,0.9777777777777777,0.8732394366197183,1.1197132616487455,1.8626651763916016,1.3943865299224854,1.5972423553466797,0.013199912735445856,0.0,"[3, 1, 2]"
42,SOX2,0.9666666666666667,0.8028169014084507,1.2040935672514619,1.5352660417556763,1.121969223022461,1.5117934942245483,0.01855903975187731,0.0,"[3, 1, 2]"
9,EOMES,0.9666666666666667,0.852112676056338,1.134435261707989,1.7049533128738403,1.165602684020996,1.714892864227295,0.0010518189872435542,0.0,"[3, 1, 2]"
14,NTSR2,0.9222222222222223,0.7605633802816901,1.2125514403292181,1.305551528930664,0.8742927312850952,1.539193868637085,0.002357251751522414,0.0,"[3, 1, 2]"
31,ISLR,0.9111111111111111,0.7816901408450704,1.1655655655655657,1.401674509048462,0.960751473903656,1.5541410446166992,0.012142508260862314,0.0,"[3, 1, 2]"
30,AI593442,0.8333333333333334,0.6830985915492958,1.2199312714776633,1.1160013675689697,0.710511326789856,1.5000373125076294,0.012142508260862314,0.0,"[3, 1, 2]"
13,LCAT,0.8333333333333334,0.5845070422535211,1.4257028112449799,1.0099546909332275,0.5754539966583252,1.544191837310791,0.0019123603282893006,0.0,"[3, 1, 2]"
2,OMP,0.9622641509433962,0.8666666666666667,1.1103047895500726,2.2886605262756348,1.191328525543213,2.996161699295044,3.590784754889285e-13,1.0,[0]
