genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_domain,neighbors
PVALB,1.0,0.9956521739130435,1.0043668122270741,4.1500163078308105,2.2418301105499268,6.740851402282715,2.345089062280425e-47,1,[8]
METRN,0.9946808510638298,0.6391304347826087,1.5563033724127948,2.4218313694000244,0.6476426720619202,5.895496368408203,6.632125616205675e-39,1,[8]
FAM107A,0.9973404255319149,0.6260869565217392,1.5929742907801419,2.423574447631836,0.639409601688385,5.954604625701904,7.297868836275502e-38,1,[8]
GRIA1,0.9920212765957447,0.5,1.9840425531914894,2.0108487606048584,0.4496196508407593,4.764674186706543,9.520741595871922e-37,1,[8]
MT-ND4,1.0,0.9956521739130435,1.0043668122270741,4.921929359436035,2.713693141937256,9.099652290344238,6.270775196711419e-32,1,[8]
MT-ND2,1.0,0.991304347826087,1.0087719298245614,4.487390995025635,2.327712059020996,8.668354034423828,6.627137229291687e-31,1,[8]
MT-CO2,1.0,0.9956521739130435,1.0043668122270741,5.288291931152344,3.006545066833496,9.793773651123047,2.658842171421053e-28,1,[8]
GPM6B,1.0,0.9043478260869565,1.1057692307692308,2.82688570022583,1.3609719276428223,4.331499099731445,9.079479968670405e-27,1,[8]
MT-ND1,1.0,0.991304347826087,1.0087719298245614,4.506715297698975,2.397844076156616,8.238935470581055,9.169720316052409e-27,1,[8]
SBK1,0.9973404255319149,0.6869565217391305,1.451824670078104,2.1433515548706055,0.7071437835693359,4.204720497131348,1.4067864034422878e-26,1,[8]
NDRG2,0.9973404255319149,0.9173913043478261,1.0871483311485328,2.6861283779144287,1.3334935903549194,3.8676023483276367,1.5435221946650992e-26,1,[8]
MT-ND3,1.0,0.9173913043478261,1.0900473933649288,3.394706964492798,1.426087498664856,7.160783767700195,5.842862301575598e-26,1,[8]
GNG13,1.0,0.9869565217391304,1.013215859030837,3.6396732330322266,2.067192792892456,4.818585395812988,9.088614819481519e-26,1,[8]
ITPR1,1.0,0.9173913043478261,1.0900473933649288,3.545954465866089,1.5855305194854736,7.102336883544922,1.7547108571468398e-24,1,[8]
S100B,0.9973404255319149,0.8347826086956521,1.1947307180851066,2.5956621170043945,1.1120991706848145,4.408625602722168,6.414756756251515e-23,1,[8]
MT-ND5,0.9867021276595744,0.7521739130434782,1.3118005165416309,2.6387298107147217,0.9737788438796997,5.28541374206543,1.2304260679910226e-22,1,[8]
